# name, smd?, value, package, component, x, y, angle, YXAngle,,,Vendor,Part, Unit ,Leads
PCB,,,,PCR-Keep-Alive,,,,,,,,, 0.10 ,
C1, PTH, 1F @ 2.7V, E2,6-May, 1f @ 2.7v-e2,6-May,0,0,0,90,Digikey,?SCCR12B105PRB, 1.26 ,2
C2, PTH, 1F @ 2.7V, E2,6-May, 1f @ 2.7v-e2,6-May,0,0,0,90,Digikey,?SCCR12B105PRB, 1.26 ,
C3, PTH, 1F @ 2.7V, E2,6-May, 1f @ 2.7v-e2,6-May,0,0,0,90,Digikey,?SCCR12B105PRB, 1.26 ,
C4, PTH, 1F @ 2.7V, E2,6-May, 1f @ 2.7v-e2,6-May,0,0,0,90,Digikey,?SCCR12B105PRB, 1.26 ,
C5, PTH, 1F @ 2.7V, E2,6-May, 1f @ 2.7v-e2,6-May,0,0,0,90,Digikey,?SCCR12B105PRB, 1.26 ,
CON1, PTH, , 1X02_LOCK, -1x02_lock,0,0,180,-90,,,,,,
D1, PTH, 1N5819, DIODE-1N4001, 1n5819-diode-1n4001,0,0,90,0,,,Digikey,497-6610-1-ND, 0.21 ,
D2, PTH, 1N5243B, DO35Z10, 1n5243b-do35z10,0,0,90,0,,,Digikey,1N5243BTRFSTR-ND, 0.13 ,
R1, PTH,220, AXIAL-0.4-RES, 220 -axial-0.4-res,0,0,270,180,,,Any,, 0.04 ,
R2, PTH,220, AXIAL-0.4-RES, 220 -axial-0.4-res,0,0,270,180,,,,, 0.04 ,
,,,,,,,,,,,,,,
,,,,,,,,,,,,, $6.82 ,
